PMC,X,Y,Z
335,-0.1326,0.13247,0.24548
336,-0.13272,0.13247,0.24548
337,-0.13285,0.13247,0.24548
338,-0.13297,0.13247,0.24549
339,-0.13311,0.13247,0.2455
340,-0.13323,0.13247,0.24552
341,-0.13336,0.13247,0.24551
342,-0.13348,0.13246,0.24551
343,-0.13361,0.13246,0.2455
344,-0.13373,0.13246,0.2455
345,-0.13386,0.13246,0.24551
346,-0.13398,0.13246,0.24551
347,-0.13411,0.13246,0.24552
348,-0.13423,0.13246,0.24553
349,-0.13437,0.13246,0.24552
350,-0.13449,0.13246,0.24552
351,-0.13461,0.13246,0.24551
352,-0.13474,0.13246,0.24551
353,-0.13487,0.13246,0.24553
354,-0.13499,0.13246,0.24554
355,-0.13512,0.13246,0.24554
356,-0.13524,0.13246,0.24555
357,-0.13537,0.13246,0.24556
358,-0.1355,0.13246,0.24557
359,-0.13563,0.13246,0.24558
360,-0.13575,0.13246,0.24559
361,-0.13588,0.13246,0.24559
362,-0.136,0.13246,0.24557
363,-0.13613,0.13246,0.24555
364,-0.13625,0.13246,0.24554
365,-0.13638,0.13246,0.24552
366,-0.1365,0.13246,0.24551
367,-0.13663,0.13246,0.2455
368,-0.13675,0.13246,0.2455
369,-0.13688,0.13246,0.24549
370,-0.137,0.13245,0.24548
371,-0.13713,0.13245,0.24547
372,-0.13726,0.13245,0.24547
373,-0.13739,0.13245,0.24548
374,-0.13751,0.13246,0.24548
375,-0.13764,0.13245,0.24549
376,-0.13776,0.13245,0.24549
377,-0.13789,0.13245,0.2455
378,-0.13801,0.13245,0.2455
379,-0.13814,0.13245,0.2455
380,-0.13826,0.13245,0.24551
381,-0.13839,0.13245,0.24551
382,-0.13851,0.13245,0.2455
383,-0.13864,0.13245,0.24548
384,-0.13876,0.13245,0.24547
385,-0.1389,0.13245,0.24546
386,-0.13902,0.13245,0.24546
387,-0.13915,0.13245,0.24547
388,-0.13927,0.13245,0.24547
389,-0.1394,0.13245,0.24547
390,-0.13952,0.13245,0.24547
391,-0.13965,0.13245,0.24547
392,-0.13977,0.13245,0.24547
393,-0.1399,0.13245,0.24547
394,-0.14002,0.13245,0.24547
395,-0.14015,0.13245,0.24548
396,-0.14028,0.13245,0.24548
397,-0.1404,0.13245,0.24549
398,-0.14053,0.13245,0.24549
399,-0.14066,0.13245,0.2455
400,-0.14078,0.13245,0.24551
401,-0.14091,0.13245,0.24551
402,-0.14103,0.13245,0.24552
403,-0.14116,0.13245,0.24552
404,-0.14128,0.13245,0.24553
405,-0.14141,0.13245,0.24553
406,-0.14153,0.13245,0.24553
407,-0.14166,0.13245,0.24552
408,-0.14178,0.13245,0.2455
409,-0.14191,0.13245,0.24548
410,-0.14203,0.13245,0.24546
411,-0.14203,0.13233,0.24546
412,-0.14191,0.13233,0.24548
413,-0.14178,0.13233,0.2455
414,-0.14166,0.13233,0.24551
415,-0.14153,0.13233,0.24553
416,-0.14141,0.13233,0.24554
417,-0.14128,0.13233,0.24554
418,-0.14116,0.13233,0.24554
419,-0.14103,0.13233,0.24553
420,-0.1409,0.13232,0.24553
421,-0.14077,0.13232,0.24552
422,-0.14065,0.13232,0.24552
423,-0.14052,0.13232,0.24551
424,-0.14039,0.13232,0.2455
425,-0.14027,0.13232,0.2455
426,-0.14015,0.13232,0.2455
427,-0.14001,0.13232,0.24549
428,-0.13989,0.13232,0.24549
429,-0.13976,0.13232,0.24549
430,-0.13964,0.13232,0.24549
431,-0.13951,0.13232,0.24549
432,-0.13939,0.13232,0.24549
433,-0.13926,0.13232,0.24549
434,-0.13913,0.13232,0.24548
435,-0.139,0.13232,0.24548
436,-0.13888,0.13232,0.24548
437,-0.13875,0.13232,0.24548
438,-0.13863,0.13232,0.24548
439,-0.1385,0.13232,0.2455
440,-0.13838,0.13232,0.24551
441,-0.13824,0.13232,0.24551
442,-0.13812,0.13232,0.24551
443,-0.13799,0.13232,0.2455
444,-0.13787,0.13232,0.2455
445,-0.13774,0.13232,0.24549
446,-0.13762,0.13232,0.24549
447,-0.13749,0.13232,0.24548
448,-0.13736,0.13231,0.24548
449,-0.13723,0.13231,0.24547
450,-0.13711,0.13231,0.24547
451,-0.13698,0.13231,0.24548
452,-0.13686,0.13231,0.24549
453,-0.13673,0.13231,0.2455
454,-0.13661,0.13231,0.24551
455,-0.13647,0.13231,0.24552
456,-0.13635,0.13231,0.24553
457,-0.13622,0.13231,0.24554
458,-0.1361,0.13231,0.24555
459,-0.13597,0.13231,0.24556
460,-0.13585,0.13231,0.24558
461,-0.13571,0.13231,0.24558
462,-0.13559,0.13231,0.24557
463,-0.13546,0.13231,0.24556
464,-0.13534,0.13231,0.24555
465,-0.13521,0.13231,0.24554
466,-0.13509,0.13231,0.24553
467,-0.13496,0.13231,0.24552
468,-0.13484,0.13231,0.24551
469,-0.1347,0.13231,0.24551
470,-0.13457,0.13231,0.24551
471,-0.13445,0.13231,0.24552
472,-0.13433,0.13231,0.24552
473,-0.1342,0.13231,0.24553
474,-0.13408,0.13231,0.24553
475,-0.13394,0.1323,0.24552
476,-0.13382,0.1323,0.24551
477,-0.13369,0.1323,0.2455
478,-0.13357,0.1323,0.24549
479,-0.13344,0.1323,0.24549
480,-0.13332,0.1323,0.24549
481,-0.13319,0.1323,0.24549
482,-0.13307,0.1323,0.24548
483,-0.13293,0.1323,0.24548
484,-0.13281,0.1323,0.24548
485,-0.13268,0.1323,0.24549
486,-0.13256,0.1323,0.24549
487,-0.13243,0.1323,0.2455
488,-0.1323,0.1323,0.2455
489,-0.13217,0.1323,0.24551
490,-0.13205,0.1323,0.24551
491,-0.13192,0.1323,0.24552
492,-0.1318,0.1323,0.24552
493,-0.13167,0.1323,0.24552
494,-0.13155,0.1323,0.24553
495,-0.13141,0.1323,0.24553
496,-0.13129,0.1323,0.24553
497,-0.13116,0.1323,0.24554
498,-0.13103,0.1323,0.24554
499,-0.13091,0.1323,0.24555
500,-0.13079,0.1323,0.24556
501,-0.13065,0.13229,0.24556
502,-0.13053,0.13229,0.24557
503,-0.1304,0.13229,0.24556
504,-0.13028,0.13229,0.24553
505,-0.13015,0.13229,0.24549
506,-0.13003,0.13229,0.24545
507,-0.1299,0.13229,0.24542
508,-0.12978,0.13229,0.24541
509,-0.12965,0.13229,0.24538
510,-0.12953,0.13229,0.24536
511,-0.12939,0.13229,0.24536
512,-0.12939,0.13217,0.24537
513,-0.12953,0.13217,0.24537
514,-0.12965,0.13217,0.24539
515,-0.12977,0.13217,0.24541
516,-0.1299,0.13217,0.24543
517,-0.13002,0.13217,0.24545
518,-0.13015,0.13217,0.24547
519,-0.13028,0.13217,0.24551
520,-0.13039,0.13217,0.24554
521,-0.13053,0.13217,0.24557
522,-0.13065,0.13217,0.24557
523,-0.13078,0.13217,0.24556
524,-0.1309,0.13217,0.24555
525,-0.13102,0.13217,0.24555
526,-0.13115,0.13217,0.24554
527,-0.13128,0.13217,0.24554
528,-0.1314,0.13217,0.24554
529,-0.13153,0.13217,0.24553
530,-0.13165,0.13217,0.24553
