"ID","PMC","Energy (keV)","Energy Start (keV)","Energy End (keV)","Effect Size","Baseline Variation","Global Difference","Difference Sigma","Peak Height","Detector","Channel","Status"
"20-684","20","5.359107992172241","5.300142992258072","5.418072992086411","13.451607704162598","0.10960012674331665","0.0463649183511734","0.22717605531215668","0.814480185508728","A","684","Diffraction Peak"
"20-951","20","7.458261989116669","7.399296989202499","7.5172269890308385","11.626922607421875","0.25141772627830505","0.0463649183511734","0.3625900149345398","0.6494721174240112","A","951","Diffraction Peak"
"21-604","21","4.730147993087769","4.671182993173599","4.789112993001938","23.734495162963867","0.2108859270811081","0.020580707117915154","0.5897521376609802","3.2188518047332764","B","604","Diffraction Peak"
"21-1006","21","7.890671988487243","7.831706988573075","7.949636988401413","27.568763732910156","0.2371339648962021","0.020580707117915154","0.4742431938648224","0.9162907600402832","A","1006","Diffraction Peak"
"21-1410","21","11.06691998386383","11.007954983949661","11.125884983778","7.650482177734375","0.33629071712493896","0.020580707117915154","0.43524038791656494","1.1909822225570679","B","1410","Diffraction Peak"
"22-602","22","4.714423993110657","4.655458993196487","4.7733889930248266","18.811283111572266","0.24702084064483643","0.034340474754571915","0.5867076516151428","3.358750581741333","B","602","Diffraction Peak"
"22-1008","22","7.9063959884643555","7.847430988550187","7.965360988378525","39.32659149169922","0.2127271443605423","0.034340474754571915","0.311886727809906","0.6635522246360779","A","1008","Diffraction Peak"
"22-1181","22","9.266521986484527","9.207556986570358","9.325486986398698","8.743882179260254","0.31943097710609436","0.034340474754571915","0.4240952134132385","1.1631507873535156","B","1181","Diffraction Peak"
"22-1394","22","10.941127984046936","10.882162984132767","11.000092983961105","6.31246280670166","0.5452737212181091","0.034340474754571915","0.5788341164588928","0.7701082229614258","B","1394","Diffraction Peak"
"23-342","23","2.670303996086121","2.6113389961719515","2.72926899600029","41.436737060546875","0.10071717202663422","0.030303101986646652","0.20729821920394897","0.8115330338478088","A","342","Diffraction Peak"
"23-1004","23","7.874947988510132","7.815982988595962","7.933912988424301","11.731630325317383","0.1974896490573883","0.030303101986646652","0.4186800718307495","1.1628319025039673","A","1004","Diffraction Peak"
"24-346","24","2.701751996040344","2.642786996126175","2.7607169959545135","31.394344329833984","0.07775663584470749","0.06182308495044708","0.3075770139694214","1.4035757780075073","A","346","Diffraction Peak"
"24-601","24","4.706561993122101","4.647596993207932","4.7655269930362705","13.74412727355957","0.14304469525814056","0.06182308495044708","0.29164043068885803","0.6774927377700806","B","601","Diffraction Peak"
"24-666","24","5.217591992378235","5.1586269924640655","5.276556992292404","7.504070281982422","0.2412584125995636","0.06182308495044708","0.42317599058151245","1.1956045627593994","B","666","Diffraction Peak"
"24-851","24","6.672061990261078","6.613096990346909","6.7310269901752475","9.056497573852539","0.2552391290664673","0.06182308495044708","0.3517357409000397","0.7938881516456604","A","851","Diffraction Peak"
"24-1003","24","7.867085988521576","7.808120988607407","7.926050988435746","12.79802131652832","0.2407141625881195","0.06182308495044708","0.4562901258468628","0.7133498787879944","A","1003","Diffraction Peak"
"25-345","25","2.6938899960517886","2.634924996137619","2.752854995965958","17.25204849243164","0.07001526653766632","0.010999406687915325","0.2785840630531311","0.924780547618866","A","345","Diffraction Peak"
